Agency;Rating;Outlook;Date
TE;100;stable;Apr 16 2016
Moody's;Aaa;stable;Feb 28 2014
Moody's;Aaa;negative;Jul 23 2012
S&P;AAA;stable;Jan 13 2012
S&P;AAA;negative watch;Dec 05 2011
Fitch;AAA;stable;Nov 21 2011
DBRS;AAA;stable;Jun 16 2011
Fitch;AAA;stable;Sep 21 2000
Fitch;AAA;n/a;Aug 10 1994
S&P;AAA;stable;Jun 26 1989
Moody's;Aaa;stable;Feb 09 1986
S&P;AAA;n/a;Aug 17 1983
