"Date,""Price"",""Open"",""High"",""Low"",""Change %"""
"Mar 09, 2018,""1.353"",""1.353"",""1.353"",""1.353"",""-1.74%"""
"Mar 08, 2018,""1.377"",""1.377"",""1.377"",""1.377"",""0.15%"""
"Mar 06, 2018,""1.375"",""1.375"",""1.375"",""1.375"",""0.00%"""
"Mar 05, 2018,""1.375"",""1.375"",""1.375"",""1.375"",""0.00%"""
"Mar 02, 2018,""1.375"",""1.375"",""1.375"",""1.375"",""-2.83%"""
"Mar 01, 2018,""1.415"",""1.415"",""1.415"",""1.415"",""-1.26%"""
"Feb 28, 2018,""1.433"",""1.433"",""1.433"",""1.433"",""-0.14%"""
"Feb 27, 2018,""1.435"",""1.435"",""1.435"",""1.435"",""-2.11%"""
"Feb 26, 2018,""1.466"",""1.466"",""1.466"",""1.466"",""-0.68%"""
"Feb 23, 2018,""1.476"",""1.476"",""1.476"",""1.476"",""-0.94%"""
"Feb 22, 2018,""1.490"",""1.490"",""1.490"",""1.490"",""1.29%"""
"Feb 21, 2018,""1.471"",""1.471"",""1.471"",""1.471"",""-1.14%"""
"Feb 20, 2018,""1.488"",""1.488"",""1.488"",""1.488"",""2.48%"""
"Feb 19, 2018,""1.452"",""1.452"",""1.452"",""1.452"",""-1.56%"""
"Feb 18, 2018,""1.475"",""1.475"",""1.475"",""1.475"",""0.00%"""
"Feb 16, 2018,""1.475"",""1.475"",""1.475"",""1.475"",""-1.54%"""
"Feb 15, 2018,""1.498"",""1.498"",""1.498"",""1.498"",""2.11%"""
"Feb 14, 2018,""1.467"",""1.467"",""1.467"",""1.467"",""0.20%"""
"Feb 13, 2018,""1.464"",""1.464"",""1.464"",""1.464"",""-0.48%"""
"Feb 12, 2018,""1.471"",""1.471"",""1.471"",""1.471"",""1.31%"""
"Feb 09, 2018,""1.452"",""1.452"",""1.452"",""1.452"",""2.04%"""
"Feb 08, 2018,""1.423"",""1.423"",""1.423"",""1.423"",""0.21%"""
"Feb 07, 2018,""1.420"",""1.420"",""1.420"",""1.420"",""-1.53%"""
"Feb 06, 2018,""1.442"",""1.442"",""1.442"",""1.442"",""-2.10%"""
"Feb 05, 2018,""1.473"",""1.438"",""1.473"",""1.438"",""2.36%"""
"Feb 02, 2018,""1.439"",""1.439"",""1.439"",""1.439"",""-1.24%"""
"Feb 01, 2018,""1.457"",""1.457"",""1.457"",""1.457"",""2.68%"""
"Jan 31, 2018,""1.419"",""1.419"",""1.419"",""1.419"",""0.42%"""
"Jan 30, 2018,""1.413"",""1.413"",""1.413"",""1.413"",""0.86%"""
"Jan 29, 2018,""1.401"",""1.401"",""1.401"",""1.401"",""1.97%"""
"Jan 26, 2018,""1.374"",""1.374"",""1.374"",""1.374"",""2.69%"""
"Jan 25, 2018,""1.338"",""1.338"",""1.338"",""1.338"",""-0.52%"""
"Jan 24, 2018,""1.345"",""1.345"",""1.345"",""1.345"",""1.28%"""
"Jan 23, 2018,""1.328"",""1.328"",""1.328"",""1.328"",""-1.92%"""
"Jan 22, 2018,""1.354"",""1.354"",""1.354"",""1.354"",""-2.73%"""
"Jan 19, 2018,""1.392"",""1.392"",""1.392"",""1.392"",""-1.07%"""
"Jan 18, 2018,""1.407"",""1.407"",""1.407"",""1.407"",""1.44%"""
"Jan 17, 2018,""1.387"",""1.387"",""1.387"",""1.387"",""0.43%"""
"Jan 16, 2018,""1.381"",""1.381"",""1.381"",""1.381"",""1.47%"""
"Jan 15, 2018,""1.361"",""1.361"",""1.361"",""1.361"",""-2.23%"""
"Jan 12, 2018,""1.392"",""1.392"",""1.392"",""1.392"",""2.58%"""
"Jan 11, 2018,""1.357"",""1.357"",""1.357"",""1.357"",""-0.44%"""
"Jan 10, 2018,""1.363"",""1.363"",""1.363"",""1.363"",""2.17%"""
"Jan 09, 2018,""1.334"",""1.334"",""1.334"",""1.334"",""-1.19%"""
"Jan 08, 2018,""1.350"",""1.350"",""1.350"",""1.350"",""-1.03%"""
"Jan 05, 2018,""1.364"",""1.364"",""1.364"",""1.364"",""-2.78%"""
"Jan 04, 2018,""1.403"",""1.403"",""1.403"",""1.403"",""-0.92%"""
"Jan 03, 2018,""1.416"",""1.416"",""1.416"",""1.416"",""5.36%"""
"Jan 02, 2018,""1.344"",""1.344"",""1.344"",""1.344"",""0.00%"""
"Dec 29, 2017,""1.344"",""1.344"",""1.344"",""1.344"",""4.11%"""
"Dec 28, 2017,""1.291"",""1.291"",""1.291"",""1.291"",""0.00%"""
"Dec 27, 2017,""1.291"",""1.291"",""1.291"",""1.291"",""-1.53%"""
"Dec 22, 2017,""1.311"",""1.311"",""1.311"",""1.311"",""-0.15%"""
"Dec 21, 2017,""1.313"",""1.313"",""1.313"",""1.313"",""3.88%"""
"Dec 20, 2017,""1.264"",""1.264"",""1.264"",""1.264"",""5.42%"""
"Dec 19, 2017,""1.199"",""1.199"",""1.199"",""1.199"",""-0.83%"""
"Dec 18, 2017,""1.209"",""1.209"",""1.209"",""1.209"",""0.75%"""
"Dec 16, 2017,""1.200"",""1.200"",""1.200"",""1.200"",""0.33%"""
"Dec 15, 2017,""1.196"",""1.196"",""1.196"",""1.196"",""-2.13%"""
"Dec 14, 2017,""1.222"",""1.222"",""1.222"",""1.222"",""4.09%"""
"Dec 13, 2017,""1.174"",""1.174"",""1.174"",""1.174"",""0.00%"""
"Dec 12, 2017,""1.174"",""1.174"",""1.174"",""1.174"",""-0.09%"""
"Dec 11, 2017,""1.175"",""1.175"",""1.175"",""1.175"",""-1.51%"""
"Dec 08, 2017,""1.193"",""1.193"",""1.193"",""1.193"",""0.00%"""
"Dec 07, 2017,""1.193"",""1.193"",""1.193"",""1.193"",""0.34%"""
"Dec 06, 2017,""1.189"",""1.189"",""1.189"",""1.189"",""-2.30%"""
"Dec 05, 2017,""1.217"",""1.217"",""1.217"",""1.217"",""-0.81%"""
"Dec 04, 2017,""1.227"",""1.227"",""1.227"",""1.227"",""-1.21%"""
"Dec 01, 2017,""1.242"",""1.242"",""1.242"",""1.242"",""-3.42%"""
"Nov 30, 2017,""1.286"",""1.286"",""1.286"",""1.286"",""0.86%"""
"Nov 29, 2017,""1.275"",""1.275"",""1.275"",""1.275"",""0.08%"""
"Nov 28, 2017,""1.274"",""1.274"",""1.274"",""1.274"",""0.63%"""
"Nov 27, 2017,""1.266"",""1.266"",""1.266"",""1.266"",""-1.17%"""
"Nov 24, 2017,""1.281"",""1.281"",""1.281"",""1.281"",""1.10%"""
"Nov 23, 2017,""1.267"",""1.267"",""1.267"",""1.267"",""0.48%"""
"Nov 22, 2017,""1.261"",""1.261"",""1.261"",""1.261"",""-1.18%"""
"Nov 21, 2017,""1.276"",""1.276"",""1.276"",""1.276"",""-2.15%"""
"Nov 20, 2017,""1.304"",""1.304"",""1.304"",""1.304"",""-1.06%"""
"Nov 17, 2017,""1.318"",""1.318"",""1.318"",""1.318"",""0.15%"""
"Nov 16, 2017,""1.316"",""1.316"",""1.316"",""1.316"",""1.39%"""
"Nov 15, 2017,""1.298"",""1.298"",""1.298"",""1.298"",""-2.26%"""
"Nov 14, 2017,""1.328"",""1.328"",""1.328"",""1.328"",""-0.23%"""
"Nov 13, 2017,""1.331"",""1.331"",""1.331"",""1.331"",""0.30%"""
"Nov 10, 2017,""1.327"",""1.327"",""1.327"",""1.327"",""5.91%"""
"Nov 09, 2017,""1.253"",""1.253"",""1.253"",""1.253"",""0.80%"""
"Nov 08, 2017,""1.243"",""1.243"",""1.243"",""1.243"",""-2.51%"""
"Nov 07, 2017,""1.275"",""1.275"",""1.275"",""1.275"",""-0.08%"""
"Nov 06, 2017,""1.276"",""1.276"",""1.276"",""1.276"",""-0.16%"""
"Nov 03, 2017,""1.278"",""1.278"",""1.278"",""1.278"",""-2.44%"""
"Nov 02, 2017,""1.310"",""1.310"",""1.310"",""1.310"",""0.92%"""
"Nov 01, 2017,""1.298"",""1.298"",""1.298"",""1.298"",""-1.07%"""
"Oct 31, 2017,""1.312"",""1.312"",""1.312"",""1.312"",""-2.09%"""
"Oct 30, 2017,""1.340"",""1.340"",""1.340"",""1.340"",""-2.76%"""
"Oct 29, 2017,""1.378"",""1.378"",""1.378"",""1.378"",""0.00%"""
"Oct 27, 2017,""1.378"",""1.378"",""1.378"",""1.378"",""-2.82%"""
"Oct 26, 2017,""1.418"",""1.418"",""1.418"",""1.418"",""0.50%"""
"Oct 25, 2017,""1.411"",""1.411"",""1.411"",""1.411"",""1.00%"""
"Oct 24, 2017,""1.397"",""1.397"",""1.397"",""1.397"",""-0.29%"""
"Oct 23, 2017,""1.401"",""1.401"",""1.401"",""1.401"",""0.43%"""
"Oct 22, 2017,""1.395"",""1.395"",""1.395"",""1.395"",""0.00%"""
"Oct 20, 2017,""1.395"",""1.395"",""1.395"",""1.395"",""2.05%"""
"Oct 19, 2017,""1.367"",""1.367"",""1.367"",""1.367"",""3.09%"""
"Oct 18, 2017,""1.326"",""1.326"",""1.326"",""1.326"",""-1.70%"""
"Oct 17, 2017,""1.349"",""1.349"",""1.349"",""1.349"",""-2.10%"""
"Oct 16, 2017,""1.378"",""1.378"",""1.378"",""1.378"",""-0.14%"""
"Oct 13, 2017,""1.380"",""1.380"",""1.380"",""1.380"",""-0.79%"""
"Oct 12, 2017,""1.391"",""1.391"",""1.391"",""1.391"",""-1.77%"""
"Oct 11, 2017,""1.416"",""1.416"",""1.416"",""1.416"",""-0.84%"""
"Oct 10, 2017,""1.428"",""1.428"",""1.428"",""1.428"",""-0.35%"""
"Oct 09, 2017,""1.433"",""1.433"",""1.433"",""1.399"",""0.00%"""
"Oct 06, 2017,""1.433"",""1.433"",""1.433"",""1.433"",""-0.56%"""
"Oct 05, 2017,""1.441"",""1.441"",""1.441"",""1.441"",""1.84%"""
"Oct 04, 2017,""1.415"",""1.415"",""1.415"",""1.415"",""-0.63%"""
"Oct 03, 2017,""1.424"",""1.424"",""1.424"",""1.424"",""-1.11%"""
"Oct 02, 2017,""1.440"",""1.440"",""1.440"",""1.440"",""-1.30%"""
"Sep 29, 2017,""1.459"",""1.459"",""1.459"",""1.459"",""-3.06%"""
"Sep 28, 2017,""1.505"",""1.505"",""1.505"",""1.505"",""3.94%"""
"Sep 27, 2017,""1.448"",""1.448"",""1.448"",""1.448"",""0.21%"""
"Sep 26, 2017,""1.445"",""1.445"",""1.445"",""1.445"",""-1.30%"""
"Sep 25, 2017,""1.464"",""1.464"",""1.464"",""1.464"",""1.88%"""
"Sep 22, 2017,""1.437"",""1.437"",""1.437"",""1.437"",""2.06%"""
"Sep 21, 2017,""1.408"",""1.408"",""1.408"",""1.408"",""0.00%"""
"Sep 20, 2017,""1.408"",""1.408"",""1.408"",""1.408"",""-0.49%"""
"Sep 19, 2017,""1.415"",""1.415"",""1.415"",""1.415"",""-0.28%"""
"Sep 18, 2017,""1.419"",""1.419"",""1.419"",""1.419"",""0.35%"""
"Sep 15, 2017,""1.414"",""1.414"",""1.414"",""1.414"",""-0.28%"""
"Sep 14, 2017,""1.418"",""1.418"",""1.418"",""1.418"",""2.01%"""
"Sep 13, 2017,""1.390"",""1.390"",""1.390"",""1.390"",""2.36%"""
"Sep 12, 2017,""1.358"",""1.358"",""1.358"",""1.358"",""2.18%"""
"Sep 11, 2017,""1.329"",""1.329"",""1.329"",""1.329"",""-1.56%"""
"Sep 08, 2017,""1.350"",""1.350"",""1.350"",""1.350"",""-1.32%"""
"Sep 07, 2017,""1.368"",""1.368"",""1.368"",""1.368"",""2.93%"""
"Sep 06, 2017,""1.329"",""1.329"",""1.329"",""1.329"",""-2.92%"""
"Sep 05, 2017,""1.369"",""1.369"",""1.369"",""1.369"",""-0.22%"""
"Sep 04, 2017,""1.372"",""1.372"",""1.372"",""1.372"",""2.46%"""
"Sep 01, 2017,""1.339"",""1.350"",""1.350"",""1.339"",""-1.62%"""
"Aug 31, 2017,""1.361"",""1.361"",""1.361"",""1.361"",""0.59%"""
"Aug 30, 2017,""1.353"",""1.353"",""1.353"",""1.353"",""1.58%"""
"Aug 29, 2017,""1.332"",""1.332"",""1.332"",""1.332"",""-1.26%"""
"Aug 28, 2017,""1.349"",""1.349"",""1.349"",""1.349"",""-0.44%"""
"Aug 25, 2017,""1.355"",""1.355"",""1.355"",""1.355"",""1.42%"""
"Aug 24, 2017,""1.336"",""1.336"",""1.336"",""1.336"",""-0.60%"""
"Aug 23, 2017,""1.344"",""1.344"",""1.344"",""1.344"",""0.67%"""
"Aug 22, 2017,""1.335"",""1.335"",""1.335"",""1.335"",""-0.52%"""
"Aug 21, 2017,""1.342"",""1.580"",""1.580"",""1.342"",""-16.07%"""
