2018-06-26  ,  0.566
2018-06-25  ,  0.566
2018-06-23  ,  0.566
2018-06-22  ,  0.566
2018-06-21  ,  0.556
2018-06-20  ,  0.587
2018-06-19  ,  0.587
2018-06-18  ,  0.606
2018-06-17  ,  0.613
2018-06-16  ,  0.613
2018-06-15  ,  0.613
2018-06-14  ,  0.633
2018-06-13  ,  0.698
2018-06-12  ,  0.726
2018-06-11  ,  0.735
2018-06-09  ,  0.705
2018-06-08  ,  0.705
2018-06-07  ,  0.726
2018-06-06  ,  0.7
2018-06-05  ,  0.598
2018-06-04  ,  0.636
2018-06-03  ,  0.605
2018-06-01  ,  0.605
2018-05-31  ,  0.61
2018-05-30  ,  0.602
2018-05-29  ,  0.539
2018-05-28  ,  0.576
2018-05-27  ,  0.632
2018-05-25  ,  0.632
2018-05-24  ,  0.681
2018-05-23  ,  0.712
2018-05-22  ,  0.74
2018-05-21  ,  0.716
2018-05-20  ,  0.726
2018-05-18  ,  0.736
2018-05-17  ,  0.793
2018-05-16  ,  0.763
2018-05-15  ,  0.785
2018-05-14  ,  0.753
2018-05-13  ,  0.704
2018-05-11  ,  0.704
2018-05-10  ,  0.706
2018-05-09  ,  0.709
2018-05-08  ,  0.711
2018-05-07  ,  0.677
2018-05-04  ,  0.696
2018-05-03  ,  0.675
2018-05-02  ,  0.725
2018-05-01  ,  0.708
2018-04-30  ,  0.708
2018-04-27  ,  0.719
2018-04-26  ,  0.739
2018-04-25  ,  0.774
2018-04-24  ,  0.771
2018-04-23  ,  0.768
2018-04-20  ,  0.732
2018-04-19  ,  0.734
2018-04-18  ,  0.668
2018-04-17  ,  0.657
2018-04-16  ,  0.674
2018-04-14  ,  0.66
2018-04-13  ,  0.66
2018-04-12  ,  0.664
2018-04-11  ,  0.648
2018-04-10  ,  0.66
2018-04-09  ,  0.644
2018-04-06  ,  0.633
2018-04-05  ,  0.658
2018-04-04  ,  0.63
2018-04-03  ,  0.635
2018-03-30  ,  0.624
